#d muJy norm
1.40016e-1    2.27334e-5 1E-4
1.42968e-1    1.45316e-5 1E-4
1.59467e-1    1.21261e-5 1E-4
1.66670e-1    1.38549e-5 1E-4
2.07535e-1    1.37960e-5 1E-4
2.16724e-1    1.10230e-5 1E-4
2.39200e-1    1.10019e-5 1E-4
2.26320e-1    8.80740e-6 1E-4
2.84795e-1    7.33229e-6 1E-4
2.90985e-1    6.12898e-6 1E-4
3.01068e-1    1.00160e-5 1E-4
3.50569e-1    5.83983e-6 1E-4
3.66130e-1    4.87937e-6 1E-4
4.23073e-1    1.13783e-5 1E-4
4.31671e-1    5.31876e-6 1E-4
4.86899e-1    4.85244e-6 1E-4
5.02913e-1    3.87793e-6 1E-4
5.67136e-1    3.23531e-6 1E-4
6.33326e-1    4.41477e-6 1E-4
6.40513e-1    5.04737e-6 1E-4
6.90945e-1    3.37030e-6 1E-4
7.62522e-1    3.21677e-6 1E-4
8.32604e-1    3.51167e-6 1E-4
9.28195e-1    2.34336e-6 1E-4
1.02413e+0    2.04530e-6 1E-4
1.14281e+0    2.04095e-6 1E-4
1.27428e+0    1.48934e-6 1E-4
1.48538e+0    1.35789e-6 1E-4

